"ds","yhat","yhat_lower","yhat_upper"
1994-01-01,50.4444048156691,47.7287041882189,53.3209806020431
1995-01-01,49.4592684098724,46.7460337844858,52.4066154551536
1996-01-01,48.4741320040206,45.5636817771737,51.1016373956871
1997-01-01,47.4862965943582,44.5898952438398,50.1891422984868
1998-01-01,46.501160188533,43.5183970566889,49.3718868778356
1999-01-01,45.51602378257,42.6304125811151,48.3856682020096
2000-01-01,44.5308873767201,41.9755728671363,47.4322047149833
2001-01-01,43.5430519669342,40.5521181574465,46.1910701816924
2002-01-01,42.557915560931,39.868107635441,45.4832493911355
2003-01-01,41.5727791513615,38.4796158679304,44.3992833589416
2004-01-01,40.5876427415638,37.7876067041903,43.3247004957433
2005-01-01,39.5998073221625,36.7534925992474,42.4926483950785
2006-01-01,38.6146709066568,35.5843344451511,41.3592274209216
2007-01-01,37.629534491063,34.7847370523136,40.4618538923576
2008-01-01,36.6443980754391,33.8926441546755,39.5595336687272
2009-01-01,35.6565626557646,32.8079020971466,38.3674375568681
2010-01-01,34.6714262400449,31.9041782441424,37.3600775868569
2011-01-01,33.6862898241842,30.8305408245112,36.6803339740215
2012-01-01,32.7011534084394,29.9359758810574,35.5538183853311
2013-01-01,31.713317988972,28.956662714892,34.5229330408392
2014-01-01,30.7281815734378,27.9173720227202,33.8913673567114
2015-01-01,29.7430451578501,26.8502372742787,32.6932886995512
2016-01-01,28.757908742177,25.7694991004122,31.3978868622607
2017-01-01,27.7700733226252,24.8581522626083,30.6661879905388
2018-01-01,26.7849369069521,23.954465525722,29.8613172025235
2019-01-01,25.7998004912789,22.8539826118296,28.7753628482929
2020-01-01,24.8146640756058,21.9778603408258,27.765578872022
2021-01-01,23.8268286560541,20.9574482795326,26.5144971988346
2022-01-01,22.8416922403809,20.0196321699076,25.647027641144
2023-01-01,21.8565558247077,19.1760754597019,24.8423557133668
2024-01-01,20.8714194090346,17.8599026172947,23.7437799925675
2025-01-01,19.8835839894829,16.8655468812789,22.8687537707699
2026-01-01,18.8984475738097,16.2339715194144,21.6567403029274
